2021-05-26 11:49:28,e5e4,242,150419,7801717,22018,7919576,7960817
2021-05-26 11:49:29,e5e4,243,150945,7833959,22099,7952263,7993585
2021-05-26 11:49:30,e5e4,244,151471,7866201,22180,7984950,8026353
2021-05-26 11:49:31,e5e4,245,152035,7898405,22262,8017636,8059121
2021-05-26 11:49:32,e5e4,246,152563,7930645,22343,8050323,8091889
2021-05-26 11:49:33,e5e4,247,153101,7962875,22424,8083010,8124657
2021-05-26 11:49:34,e5e4,248,153642,7995102,22505,8115697,8157425
2021-05-26 11:49:35,e5e4,249,154293,8027219,22680,8148290,8190193
2021-05-26 11:49:36,e5e4,250,154849,8059431,22762,8180976,8222961
2021-05-26 11:49:37,e5e4,251,155372,8091676,22843,8213663,8255729
2021-05-26 11:49:38,e5e4,252,155899,8123917,22924,8246350,8288497
2021-05-26 11:49:39,e5e4,253,156424,8156160,23005,8279037,8321265
2021-05-26 11:49:40,e5e4,254,156947,8188405,23086,8311724,8354033
2021-05-26 11:49:41,e5e4,255,157474,8220646,23167,8344411,8386801
2021-05-26 11:49:42,e5e4,256,158001,8252887,23248,8377098,8419569
2021-05-26 11:49:43,e5e4,257,158524,8285132,23329,8409785,8452337
2021-05-26 11:49:44,e5e4,258,159063,8317361,23410,8442472,8485105
2021-05-26 11:49:45,e5e4,259,159600,8349592,23491,8475159,8517873
2021-05-26 11:49:46,e5e4,260,160154,8381806,23572,8507846,8550641
2021-05-26 11:49:47,e5e4,261,160681,8414047,23653,8540533,8583409
2021-05-26 11:49:48,e5e4,262,161207,8446289,23734,8573220,8616177
2021-05-26 11:49:49,e5e4,263,161734,8478530,23815,8605907,8648945
2021-05-26 11:49:50,e5e4,264,162262,8510770,23896,8638594,8681713
2021-05-26 11:49:51,e5e4,265,162788,8543012,23977,8671281,8714481
2021-05-26 11:49:52,e5e4,266,163312,8575256,24058,8703968,8747249
2021-05-26 11:49:53,e5e4,267,163841,8607495,24139,8736655,8780017
2021-05-26 11:49:54,e5e4,268,164370,8639734,24220,8769342,8812785
2021-05-26 11:49:55,e5e4,269,164896,8671976,24301,8802029,8845553
2021-05-26 11:49:56,e5e4,270,165461,8704179,24382,8834717,8878321
2021-05-26 11:49:57,e5e4,271,165999,8736409,24463,8867404,8911089
2021-05-26 11:49:58,e5e4,272,166533,8768643,24544,8900091,8943857
2021-05-26 11:49:59,e5e4,273,167070,8800874,24625,8932778,8976625
2021-05-26 11:50:00,e5e4,274,167608,8833104,24706,8965465,9009393
2021-05-26 11:50:01,e5e4,275,168142,8865338,24787,8998152,9042161
2021-05-26 11:50:02,e5e4,276,168679,8897569,24868,9030839,9074929
2021-05-26 11:50:03,e5e4,277,169123,8929893,24949,9063526,9107697
2021-05-26 11:50:04,e5e4,278,169530,8962255,25030,9096213,9140465
2021-05-26 11:50:05,e5e4,279,170140,8994413,25231,9128780,9173234
2021-05-26 11:50:06,e5e4,280,170583,9026738,25312,9161467,9206002
2021-05-26 11:50:07,e5e4,281,170991,9059098,25393,9194154,9238769
2021-05-26 11:50:08,e5e4,282,171400,9091457,25474,9226841,9271537
2021-05-26 11:50:09,e5e4,283,171993,9123632,25648,9259435,9304305
2021-05-26 11:50:10,e5e4,284,172491,9155902,25729,9292122,9337074
2021-05-26 11:50:11,e5e4,285,173026,9188135,25810,9324809,9369842
2021-05-26 11:50:12,e5e4,286,173551,9220378,25891,9357496,9402610
2021-05-26 11:50:13,e5e4,287,174073,9252624,25973,9390182,9435378
2021-05-26 11:50:14,e5e4,288,174598,9284867,26054,9422869,9468146
2021-05-26 11:50:15,e5e4,289,175123,9317110,26136,9455555,9500914
2021-05-26 11:50:16,e5e4,290,175676,9349325,26218,9488241,9533682
2021-05-26 11:50:17,e5e4,291,176202,9381567,26299,9520928,9566450
2021-05-26 11:50:18,e5e4,292,176727,9413810,26380,9553615,9599218
2021-05-26 11:50:19,e5e4,293,177249,9446056,26461,9586302,9631986
2021-05-26 11:50:20,e5e4,294,177775,9478298,26542,9618989,9664754
2021-05-26 11:50:21,e5e4,295,178301,9510540,26623,9651676,9697522
2021-05-26 11:50:22,e5e4,296,178824,9542785,26704,9684363,9730290
2021-05-26 11:50:23,e5e4,297,179351,9575026,26785,9717050,9763058
2021-05-26 11:50:24,e5e4,298,179877,9607268,26866,9749737,9795826
